# SAFETY_CORRIDOR_INTERS v1
frame: map
inters: 1

INTER 0 ROWS 21
1 0 0 1
0 1 0 1
0 0 1 1
-1 -0 -0 1
-0 -1 -0 1
-0 -0 -1 -0
-0.03176949801777373 0.9745842025130349 -0.2217573701317062 0.3558004641423506
-0.06064587366138249 0.955297407466753 0.2893595363818997 0.5992073333352426
-0.2871117967582467 0.9567634514604981 0.04658877667041905 0.5506666083392838
1 0 0 1
0 1 0 1
0 0 1 1
-1 -0 -0 1
-0 -1 -0 1
-0 -0 -1 -0
-2.069255780159017e-10 1.42387413895095e-10 -1 -0.199999999392569
-1 1.738138562427665e-09 -7.558690926321545e-11 0.4000000017262709
-1.874820774561731e-09 -7.347142679067255e-09 1 0.5999999981384222
-0.5039574783317694 -0.5860672297093449 0.6344699065316637 0.1504758473819991
0.6995505348788482 -0.7145831296292386 -2.501268136209597e-11 -0.40731238368412
0.4364256489853384 -0.6056110188871575 0.6654081053835949 0.04520507196409584
ENDINTER

